load_factor,downward_displacement_m
0.000000000000000000e+00,0.000000000000000000e+00
3.333333333333333287e-02,4.059678231486991301e-04
6.666666666666666574e-02,8.119078578755816117e-04
1.000000000000000056e-01,1.217792693258158655e-03
1.333333333333333315e-01,1.623594956200859717e-03
1.666666666666666574e-01,2.029287330145838463e-03
2.000000000000000111e-01,2.434842573675770078e-03
2.333333333333333370e-01,2.840233538972664409e-03
2.666666666666666630e-01,3.245689681388608683e-03
2.999999999999999889e-01,3.661704186103576560e-03
3.333333333333333148e-01,4.114940848906651662e-03
3.666666666666666408e-01,4.654062077640673013e-03
4.000000000000000222e-01,5.337869488890963597e-03
4.333333333333333481e-01,6.271440234861205658e-03
4.666666666666666741e-01,7.509587035020215753e-03
5.000000000000000000e-01,9.358885910425286322e-03
5.333333333333333259e-01,1.288046610388658871e-02
5.666666666666666519e-01,2.426971289583249730e-02
5.999999999999999778e-01,3.872012271276689677e-02
6.333333333333333037e-01,4.870094144955821464e-02
6.666666666666666297e-01,5.655373561069389904e-02
6.999999999999999556e-01,6.341094126886168136e-02
7.333333333333332815e-01,6.949112031994350569e-02
7.666666666666666075e-01,7.521664157740354240e-02
8.000000000000000444e-01,8.065103748610971679e-02
8.333333333333333703e-01,8.587273542035853136e-02
8.666666666666666963e-01,9.093752702550611522e-02
9.000000000000000222e-01,9.580427447113007422e-02
9.333333333333333481e-01,1.005637346304122243e-01
9.666666666666666741e-01,1.052339485645270439e-01
1.000000000000000000e+00,1.097935342369838752e-01
