load_factor,downward_displacement_m
0.000000000000000000e+00,0.000000000000000000e+00
3.333333333333333287e-02,4.059678234015633744e-04
6.666666666666666574e-02,8.119078588655327883e-04
1.000000000000000056e-01,1.217792694984098575e-03
1.333333333333333315e-01,1.623594958660724277e-03
1.666666666666666574e-01,2.029287333336778597e-03
2.000000000000000111e-01,2.434842577594050709e-03
2.333333333333333370e-01,2.840233543613711505e-03
2.666666666666666630e-01,3.245689681387049167e-03
2.999999999999999889e-01,3.661704186104209734e-03
3.333333333333333148e-01,4.114940848909979729e-03
3.666666666666666408e-01,4.654062077717855198e-03
4.000000000000000222e-01,5.337869489923431111e-03
4.333333333333333481e-01,6.271440244104324081e-03
4.666666666666666741e-01,7.509587087411570897e-03
5.000000000000000000e-01,9.358886189995816243e-03
5.333333333333333259e-01,1.288046786146211826e-02
5.666666666666666519e-01,2.426973332306257489e-02
5.999999999999999778e-01,3.872018675829198842e-02
6.333333333333333037e-01,4.870104761324095533e-02
6.666666666666666297e-01,5.655391992290223491e-02
6.999999999999999556e-01,6.341122278911101584e-02
7.333333333333332815e-01,6.949152063162114534e-02
7.666666666666666075e-01,7.521721027135101767e-02
8.000000000000000444e-01,8.065175295577178827e-02
8.333333333333333703e-01,8.587364052570496675e-02
8.666666666666666963e-01,9.093868087046885762e-02
9.000000000000000222e-01,9.580572565862587042e-02
9.333333333333333481e-01,1.005655609559612806e-01
9.666666666666666741e-01,1.052362922901595582e-01
1.000000000000000000e+00,1.097963639599273261e-01
