crack_length,load,displacement,mode_i_fraction
25.4,750.498,1.64621,0.2
25.9,737.165,1.63859,0.2
26.4,724.784,1.63097,0.2
26.9,711.451,1.62335,0.2
27.4,700.023,1.61573,0.2
27.9,687.642,1.60811,0.2
28.4,677.166,1.60050,0.2
28.9,665.738,1.59288,0.2
29.4,655.262,1.59288,0.2
29.9,644.786,1.58526,0.2
30.4,635.263,1.58526,0.2
35.4,549.550,1.60050,0.2
40.4,484.790,1.66906,0.2
45.4,433.363,1.79097,0.2
45.9,428.601,1.79858,0.2
46.4,424.791,1.81382,0.2
46.9,420.982,1.82906,0.2
47.4,417.173,1.85192,0.2
47.9,415.268,1.87477,0.2
48.4,415.268,1.91287,0.2
48.9,417.173,1.95858,0.2
49.4,424.791,2.02715,0.2
49.9,437.172,2.11096,0.2
50.4,452.410,2.22524,0.2
50.9,469.552,2.34714,0.2
51.4,485.742,2.46142,0.2
55.4,576.216,3.22331,0.2
60.4,667.643,4.06138,0.2
65.4,765.736,4.96040,0.2
70.4,899.066,6.01942,0.2
